code;class;sex;prevalence
D52;ICD_codes;female;0.0025399129172714078
D33;ICD_codes;female;0.0025399129172714078
M96;ICD_codes;female;0.0025399129172714078
T22;ICD_codes;female;0.0025399129172714078
J95;ICD_codes;female;0.0025399129172714078
V29;ICD_codes;female;0.0025399129172714078
H51;ICD_codes;female;0.0025399129172714078
C20;ICD_codes;female;0.0025399129172714078
V98;ICD_codes;female;0.0025399129172714078
Z15;ICD_codes;female;0.0025399129172714078
H59;ICD_codes;female;0.0025399129172714078
425;Phecodes;female;0.0025426807119505995
907;Phecodes;female;0.0025426807119505995
360;Phecodes;female;0.0025426807119505995
38;Phecodes;female;0.0025426807119505995
L89;ICD_codes;both;0.0026283865750101093
Y65;ICD_codes;both;0.0026283865750101093
H51;ICD_codes;both;0.0026283865750101093
V65;ICD_codes;both;0.0026283865750101093
K66;ICD_codes;both;0.0026283865750101093
T80;ICD_codes;both;0.0026283865750101093
T51;ICD_codes;both;0.0026283865750101093
G96;ICD_codes;both;0.0026283865750101093
R27;ICD_codes;both;0.0026283865750101093
M40;ICD_codes;both;0.0026283865750101093
L52;ICD_codes;both;0.0026283865750101093
L97;ICD_codes;both;0.0026283865750101093
M45;ICD_codes;both;0.0026283865750101093
I31;ICD_codes;both;0.0026283865750101093
O32;ICD_codes;both;0.0026283865750101093
H74;ICD_codes;both;0.0026283865750101093
T43;ICD_codes;both;0.0026283865750101093
A04;ICD_codes;both;0.0026283865750101093
C80;ICD_codes;both;0.0026283865750101093
D04;ICD_codes;both;0.0026283865750101093
E07;ICD_codes;both;0.0026283865750101093
229;Phecodes;both;0.0026326447954637504
131;Phecodes;both;0.0026326447954637504
907;Phecodes;both;0.0026326447954637504
D37;ICD_codes;male;0.0027397260273972603
M45;ICD_codes;male;0.0027397260273972603
B05;ICD_codes;male;0.0027397260273972603
G20;ICD_codes;male;0.0027397260273972603
S96;ICD_codes;male;0.0027397260273972603
Z94;ICD_codes;male;0.0027397260273972603
K55;ICD_codes;male;0.0027397260273972603
D53;ICD_codes;male;0.0027397260273972603
E10;ICD_codes;male;0.0027397260273972603
S36;ICD_codes;male;0.0027397260273972603
M91;ICD_codes;male;0.0027397260273972603
M92;ICD_codes;male;0.0027397260273972603
J41;ICD_codes;male;0.0027397260273972603
D14;ICD_codes;male;0.0027397260273972603
N31;ICD_codes;male;0.0027397260273972603
U09;ICD_codes;male;0.0027397260273972603
X58;ICD_codes;male;0.0027397260273972603
R56;ICD_codes;male;0.0027397260273972603
C91;ICD_codes;male;0.0027397260273972603
L92;ICD_codes;male;0.0027397260273972603
D36;ICD_codes;male;0.0027397260273972603
J69;ICD_codes;male;0.0027397260273972603
H51;ICD_codes;male;0.0027397260273972603
724;Phecodes;male;0.002745995423340961
501;Phecodes;male;0.002745995423340961
967;Phecodes;male;0.002745995423340961
907;Phecodes;male;0.002745995423340961
158;Phecodes;male;0.002745995423340961
500;Phecodes;male;0.002745995423340961
446;Phecodes;male;0.002745995423340961
170;Phecodes;male;0.002745995423340961
504;Phecodes;male;0.002745995423340961
334;Phecodes;male;0.002745995423340961
332;Phecodes;male;0.002745995423340961
F63;ICD_codes;both;0.0028305701577031944
L76;ICD_codes;both;0.0028305701577031944
F14;ICD_codes;both;0.0028305701577031944
X58;ICD_codes;both;0.0028305701577031944
L27;ICD_codes;both;0.0028305701577031944
O65;ICD_codes;both;0.0028305701577031944
N72;ICD_codes;both;0.0028305701577031944
I08;ICD_codes;both;0.0028305701577031944
